Phase,State,Time Period,Time Period Label,Value
1,New York,11,July 9 - July 14,25
1,North Carolina,11,July 9 - July 14,26.4
1,North Dakota,11,July 9 - July 14,25.2
1,Ohio,11,July 9 - July 14,21.2
1,Oklahoma,11,July 9 - July 14,30.8
1,Oregon,11,July 9 - July 14,31.7
1,Pennsylvania,11,July 9 - July 14,27.5
1,Rhode Island,11,July 9 - July 14,31.1
1,South Carolina,11,July 9 - July 14,25.3
1,South Dakota,11,July 9 - July 14,24.1
1,Tennessee,11,July 9 - July 14,31.4
1,Texas,11,July 9 - July 14,32.2
1,Utah,11,July 9 - July 14,24.2
1,Vermont,11,July 9 - July 14,20.7
1,Virginia,11,July 9 - July 14,24
1,Washington,11,July 9 - July 14,27.2
1,West Virginia,11,July 9 - July 14,29.4
1,Wisconsin,11,July 9 - July 14,24.6
1,Wyoming,11,July 9 - July 14,21.7
1,Alabama,12,July 16 - July 21,32.7
1,Alaska,12,July 16 - July 21,27.4
1,Arizona,12,July 16 - July 21,34.3
1,Arkansas,12,July 16 - July 21,33.7
1,California,12,July 16 - July 21,31.2
1,Colorado,12,July 16 - July 21,29.1
1,Connecticut,12,July 16 - July 21,25.9
1,Delaware,12,July 16 - July 21,26.5
1,District of Columbia,12,July 16 - July 21,23.8
1,Florida,12,July 16 - July 21,30.7
1,Georgia,12,July 16 - July 21,29.7
1,Hawaii,12,July 16 - July 21,29.3
1,Idaho,12,July 16 - July 21,34.2
1,Illinois,12,July 16 - July 21,29.5
1,Indiana,12,July 16 - July 21,32
1,Iowa,12,July 16 - July 21,25.3
1,Kansas,12,July 16 - July 21,30.5
1,Kentucky,12,July 16 - July 21,30.6
1,Louisiana,12,July 16 - July 21,31.7
1,Maine,12,July 16 - July 21,25.3
1,Maryland,12,July 16 - July 21,29.5
1,Massachusetts,12,July 16 - July 21,23.7
1,Michigan,12,July 16 - July 21,28.6
1,Minnesota,12,July 16 - July 21,24.2
1,Mississippi,12,July 16 - July 21,36.5
1,Missouri,12,July 16 - July 21,24.8
1,Montana,12,July 16 - July 21,28.4
1,Nebraska,12,July 16 - July 21,25.2
1,Nevada,12,July 16 - July 21,38.6
1,New Hampshire,12,July 16 - July 21,28.8
1,New Jersey,12,July 16 - July 21,26.8
